place,team_name,submission_date,score
62,Rinku Sahu,2024-08-10 14:14:25,880.7
63,enddl22,2024-08-12 08:36:06,877.8
64,jang42,2024-08-13 18:22:13,876.7
65,Kirill Yakunin,2024-08-13 22:01:39,876.5
66,unom3,2024-08-13 13:41:28,874.5
67,Nischay Dhankhar,2024-08-13 17:51:04,872.2
68,charmq,2024-08-13 08:35:21,869.6
69,Bo Peng,2024-08-07 05:48:55,866.5
70,Yousef Rabi,2024-08-07 04:36:08,865.2
71,Manuel Campos,2024-08-13 09:10:38,861.6
72,dron bespilotnik,2024-08-10 14:08:35,859.7
73,nash_efp,2024-08-13 22:05:19,859.4
74,qirenzhr,2024-07-26 09:34:28,858.2
75,Gwonhyeockmin,2024-07-05 05:24:45,857.0
76,Magsen Chebini,2024-08-13 20:12:47,855.3
77,THUNDER THUNDER,2024-08-10 04:31:50,855.1
78,Yuang Wu,2024-08-13 22:54:06,850.5
79,Paul Pawletta,2024-08-08 19:44:15,848.6
80,blackbun,2024-08-13 18:10:36,844.0
81,kothiwsk28,2024-08-13 01:06:40,843.1
82,BORAHMLEE,2024-07-31 10:42:45,840.9
83,obs,2024-08-13 18:35:14,839.8
84,Leilo,2024-08-13 08:58:02,838.4
85,huiqin,2024-07-14 23:40:05,837.8
86,cyberia,2024-08-10 15:39:37,837.8
87,Softmaxxing,2024-07-08 16:16:52,837.8
88,(AI)kinator,2024-08-13 22:55:54,836.9
89,VISHNU SINDAL T.B,2024-08-13 20:31:45,836.9
90,DG,2024-08-10 11:56:30,835.8
91,He Shen,2024-08-13 15:07:00,835.2
92,Moro,2024-08-13 20:09:35,834.9
93,Behavior Cloners,2024-08-13 21:40:51,833.2
94,Optimus Prime,2024-08-13 03:13:49,831.4
95,Doctor Domi,2024-08-09 16:58:23,822.2
96,Yen Nguyen,2024-08-11 09:39:46,819.9
97,digimagi,2024-08-13 08:13:29,817.2
98,Juclenio Antonio,2024-07-31 23:16:01,813.0
99,Ariocx,2024-08-06 02:03:05,809.9
100,Vitalux,2024-08-06 14:48:24,807.9
101,Azim Sonawalla,2024-08-05 13:37:56,807.9
102,Cloud Zax,2024-07-25 13:35:46,807.2
103,chacc0,2024-08-13 18:05:36,806.2
104,Fayez Siddiqui,2024-08-13 07:42:16,802.0
105,cv,2024-08-13 05:49:22,801.1
106,Coldstart Coder,2024-08-13 04:22:39,800.4
107,Lambert,2024-08-13 15:13:30,800.3
108,GizMonic Mattstitute,2024-08-13 17:51:53,797.5
109,Sun And Ray,2024-08-12 13:35:11,796.4
110,Lonnie,2024-07-18 07:42:37,796.2
111,デワンシュ,2024-07-15 03:54:01,795.1
112,payanotty,2024-08-13 13:45:19,795.0
113,Giba,2024-08-13 23:55:25,792.4
114,Abid Ali Awan,2024-08-01 09:05:08,789.6
115,mind_readers,2024-07-28 19:21:48,789.0
116,Helen,2024-08-13 20:56:54,787.4
117,Explorer,2024-07-24 13:28:08,786.4
118,Soyoung Lee,2024-08-13 14:24:22,786.0
119,rip,2024-08-13 04:30:38,785.1
120,zerojin,2024-07-27 09:38:03,784.7
121,Mutoy Choi,2024-08-10 08:24:13,784.6
122,Kabaev Anton,2024-08-07 14:22:11,782.4
123,thinh5,2024-07-22 14:12:03,780.3
124,tr,2024-06-25 16:53:03,779.2
125,Jing Guo,2024-08-13 19:11:42,777.7
126,LeonShangguan,2024-08-12 22:24:58,776.6
127,Solieakd,2024-08-13 21:20:44,774.9
128,Zemoso,2024-08-12 17:00:58,773.8
129,Yunjia Liu,2024-08-10 18:38:41,773.7
130,Vavilkin Alexander,2024-08-06 20:26:19,771.6
131,Denis Shamshurin,2024-06-26 10:42:11,771.6
132,genesogenesis,2024-08-13 21:54:19,765.5
133,dbtmddn41,2024-08-11 07:49:47,764.8
134,ladybug 🐞,2024-08-13 23:47:34,762.9
135,Vipin Kumar,2024-08-10 06:23:32,761.5
136,PRADEEPSAHU1357,2024-08-02 23:32:51,760.6
137,thanhtc66,2024-08-13 08:36:57,759.9
138,player13,2024-08-13 16:10:18,759.3
139,Pang Luo,2024-08-10 03:05:43,757.4
140,Jason Heesang Lee,2024-08-12 08:00:57,756.2
141,Cno0pp,2024-07-18 06:30:39,755.6
142,Roland Luethy,2024-08-07 02:33:33,754.6
143,yamitomo,2024-07-24 02:36:14,753.6
144,copasta,2024-08-13 17:55:11,752.5
145,Nat Bel ML Fun,2024-08-10 20:57:18,751.5
146,monkeyHyx,2024-08-13 13:01:29,749.6
147,greg97436,2024-08-10 16:56:17,749.4
148,Dominique Nocito,2024-08-13 22:02:23,749.4
149,Umut Toygar Göz,2024-08-10 11:28:15,748.9
150,Optimistix,2024-08-13 23:57:07,746.7
151,FullEmpty,2024-08-13 19:57:58,745.1
152,Dasol Choi,2024-08-13 15:14:23,741.1
153,Mahmoud Elshahed,2024-08-13 22:14:02,738.1
154,tiny wood,2024-07-15 07:10:17,737.3
155,kyotoman,2024-08-13 15:17:10,736.2
156,Chenhao Guan,2024-07-06 04:45:54,736.2
157,nomoon,2024-08-13 00:33:44,734.1
158,kosirowada,2024-07-14 03:49:09,731.4
159,Chaba,2024-08-13 18:18:25,731.2
160,SpiralTip,2024-08-13 21:59:34,730.1
161,kiyomomo,2024-08-13 23:19:25,727.8
162,Kishore M,2024-08-13 18:11:24,727.1
163,Aizaki,2024-07-26 13:34:13,726.9
164,jagaldol,2024-08-09 13:50:56,726.5
165,Chernov Andrey,2024-08-13 21:51:15,725.3
166,再看一眼就会爆炸💥,2024-08-13 06:05:12,723.0
167,wasjaip,2024-08-10 19:23:28,722.2
168,W. Yifan,2024-07-15 18:44:17,720.5
169,KNU_Keanu,2024-07-05 06:40:58,716.3
170,Cantaloupe,2024-08-13 17:09:57,713.3
171,Akash,2024-08-08 07:45:28,713.3
172,Daisy,2024-08-12 17:24:00,712.6
173,Chen Bingjun,2024-08-01 15:18:35,711.9
174,Ali,2024-08-12 04:58:29,709.1
175,Inhoi,2024-08-09 11:09:35,709.1
176,huoyeqianxun,2024-08-05 02:51:08,709.0
177,MinhTriet,2024-08-13 12:06:36,707.6
178,Vyacheslav Bolotin,2024-08-07 16:56:04,703.4
179,Satya,2024-06-27 15:01:08,703.2
180,CharadesKing,2024-08-13 15:10:13,703.1
181,Azzoug Aghiles,2024-08-04 09:47:27,702.3
182,John Smith,2024-08-13 18:35:53,700.8
183,Valentin Baltazar,2024-07-19 00:25:09,698.6
184,CchristoC,2024-07-08 02:42:49,698.3
185,Krens,2024-08-13 15:29:38,695.7
186,inquirers,2024-08-13 22:10:35,694.7
187,not_akinator,2024-08-13 15:51:26,693.1
188,AgenTNighTmare,2024-07-21 10:54:09,691.3
189,Yuke Chen,2024-08-11 20:49:29,689.0
190,AkiraIshikawa,2024-07-31 13:29:48,688.7
191,keisun11,2024-08-02 14:00:11,688.1
192,FMYNUnion,2024-08-12 03:47:31,687.7
193,aalok agrawal,2024-07-13 15:00:12,687.2
194,opamusora (Ivan Viakhirev),2024-08-08 13:19:43,686.7
195,John Macgillivray (Optiver),2024-07-13 06:42:16,686.0
196,PlayingAround,2024-08-13 15:37:06,685.7
197,JK-Piece,2024-08-13 14:23:55,684.4
198,kzk_t,2024-08-06 15:45:17,684.3
199,Vitaly Kudelya,2024-08-13 22:45:37,684.0
200,Renoir,2024-08-13 23:13:47,683.1
201,Tran Anh Quan,2024-08-13 14:58:08,682.7
202,Tsui Ping Chang,2024-08-13 00:19:52,682.5
203,Izmaylov Konstantin,2024-08-12 22:42:36,682.1
204,said koussi,2024-08-12 06:12:28,681.6
205,teddy,2024-08-13 22:37:25,680.5
206,Actually I don't know,2024-08-13 23:44:48,680.0
207,Pamin,2024-08-11 04:04:05,678.4
208,viclin,2024-08-13 20:49:29,677.2
209,Farid 🇵🇪,2024-08-13 13:15:09,676.9
210,filtered,2024-08-13 23:30:37,676.8
211,kami,2024-08-05 01:39:54,676.1
212,HiroyukiSasaki,2024-07-28 13:18:27,675.7
213,yu_w,2024-08-12 15:27:33,675.2
214,freePalestine,2024-08-13 13:17:34,673.8
215,JavaZero,2024-08-10 09:58:48,673.8
216,SeungWoo-Seo,2024-07-29 11:42:44,672.7
217,gguillard,2024-08-13 23:20:34,671.9
218,Fidel,2024-08-13 23:45:44,670.4
219,today,2024-08-13 13:24:46,669.2
220,ihar,2024-08-05 21:31:25,668.9
221,xuling,2024-08-13 15:36:56,668.1
222,Darren Lu,2024-08-08 09:07:39,665.8
223,ZeHong Ren,2024-08-11 03:04:18,663.4
224,no_one,2024-07-29 17:16:39,663.3
225,nishimoto,2024-08-13 23:00:39,663.0
226,Inquisition,2024-08-13 23:48:39,662.8
227,Naoism,2024-08-13 15:51:32,662.5
228,ITASps,2024-08-13 06:55:32,662.3
229,Guan,2024-08-12 23:13:00,662.1
230,Erickson,2024-07-27 11:08:39,660.4
231,Ahmet Ekiz,2024-08-13 18:40:06,660.3
232,Gamma,2024-08-11 14:04:14,659.6
233,C R Suthikshn Kumar,2024-08-13 16:08:33,659.6
234,SomasishGhosh,2024-07-24 05:37:41,659.3
235,Henry Javier,2024-08-10 04:12:22,658.0
236,ELL,2024-08-13 14:06:33,657.7
237,ERI_GOOO!,2024-08-13 13:46:07,657.0
238,TwoIdiotsMissedJoinDeadline,2024-08-10 13:27:22,656.5
239,ROKO_KR,2024-08-06 05:46:40,655.4
240,Soontofu Gelato,2024-08-07 07:30:41,655.3
241,会赢的,2024-07-31 15:40:12,654.8
242,moat,2024-08-12 23:27:04,654.0
243,pisquare,2024-08-13 01:14:55,653.4
244,gorinars,2024-08-13 18:03:33,652.1
245,MMMMok,2024-08-10 13:41:41,651.7
246,gpc_1278,2024-07-10 08:00:10,650.8
247,Feida Wei,2024-08-11 14:07:13,650.3
248,Tomato52,2024-08-04 15:53:22,650.2
249,Theodore,2024-08-10 02:45:55,649.5
250,Ballo,2024-08-13 04:56:59,648.2
251,Peng Zheng,2024-08-12 12:37:48,647.8
252,jdubkim,2024-08-13 06:34:12,647.4
253,Park Inseo,2024-08-11 19:13:50,646.6
254,🧠MindMiner⛏️,2024-08-09 12:46:34,646.0
255,Khakiss23,2024-08-02 08:41:12,645.6
256,Leo Lu,2024-08-13 02:50:42,645.5
257,davide,2024-08-13 22:01:52,644.4
258,Jonathan James Harker,2024-07-28 07:29:24,644.3
259,FrederikZ,2024-08-01 05:58:20,644.0
260,J3sseZhang,2024-08-08 09:57:33,643.9
261,ptdtrinh,2024-08-11 10:58:14,643.6
262,Taras Semenchenko,2024-08-13 12:55:53,642.4
263,hinata1119,2024-08-06 15:44:36,641.9
264,中村悠一,2024-06-16 04:06:21,641.5
265,RS Turley,2024-08-13 19:59:56,640.2
266,goranee,2024-08-07 07:38:31,639.1
267,Santiago Mota,2024-08-08 12:18:07,638.9
268,GG_Bond,2024-08-13 04:58:17,638.6
269,hiros15,2024-08-07 00:26:03,638.4
270,YeonwooSung,2024-08-01 12:38:38,638.3
271,gromml,2024-08-05 22:55:31,637.9
272,Leon,2024-07-12 04:30:25,637.9
273,haneumLee,2024-07-20 03:14:44,637.1
274,Goya Shuto,2024-08-09 18:13:17,635.0
275,Kamal Das,2024-08-07 09:25:18,634.7
276,WonseokJeong,2024-08-12 12:59:02,634.3
277,Q-Antman,2024-08-12 11:47:48,633.8
278,Aleksandr Lutskiy,2024-08-10 19:41:24,633.6
279,101010,2024-07-03 17:06:55,633.1
280,Kumar Abhijeet,2024-08-13 11:34:39,633.0
281,Briaha,2024-05-23 00:55:45,632.7
282,namtran,2024-06-09 10:13:55,632.7
283,Mukatai,2024-08-12 16:43:15,632.6
284,omqriko,2024-06-10 06:39:37,631.6
285,Gauranshu Rathee,2024-05-29 17:59:37,631.3
286,Jacky285,2024-08-13 08:09:31,631.1
287,da_pond,2024-08-13 21:49:18,630.9
288,solohayuna,2024-07-29 15:15:47,630.8
289,SparrowAI,2024-07-13 14:56:17,630.7
290,Manoj Prabhakar,2024-07-16 05:29:18,630.1
291,Muhammad,2024-07-16 15:50:28,628.9
292,Aleksandr Emchinov,2024-08-11 10:32:32,628.4
293,huyphnvn,2024-08-06 23:49:54,627.0
294,mouadenna,2024-06-15 15:56:09,626.7
295,Livin Nector,2024-07-13 08:28:13,626.6
296,SSS,2024-07-23 01:03:12,626.5
297,Shivani Gupta,2024-06-06 17:21:00,625.7
298,Code Hacker,2024-08-13 13:49:11,625.6
299,Kirderf,2024-08-13 15:53:49,625.5
300,ChinhH,2024-08-07 06:24:19,625.3
301,Max Pham 12,2024-08-06 10:22:11,625.2
302,zxf,2024-08-13 13:56:55,624.9
303,Mitul Parmar,2024-06-01 14:25:31,624.7
304,Femca7,2024-08-09 05:25:45,624.4
305,zby,2024-08-07 16:09:15,624.1
306,Leen Dekeukeleire,2024-08-11 15:06:24,623.9
307,RZhang2022,2024-07-17 13:08:31,623.8
308,Namita Mane,2024-08-10 18:43:48,623.7
309,cosminga,2024-07-31 16:30:57,623.7
310,ethan.cheng,2024-08-13 07:42:23,622.8
311,Chris Deotte,2024-08-11 17:47:23,622.8
312,Dino Wun,2024-05-26 04:09:44,622.7
313,Neural Mavericks,2024-08-04 08:59:58,622.6
314,Nikoo Yu,2024-06-05 01:17:46,622.0
315,xsong2020,2024-08-04 19:30:22,621.9
316,aditya ranjan,2024-06-10 20:33:56,621.2
317,Rhegoat Cruite,2024-06-09 09:26:57,621.0
318,Antar,2024-07-11 12:17:23,621.0
319,Vanguard Quorum,2024-08-12 19:31:20,620.6
320,A.Ishibashi,2024-08-11 06:47:22,620.6
321,Joakim Arvidsson,2024-08-13 19:47:03,620.4
322,Xnd,2024-08-13 15:09:42,620.2
323,SK2,2024-05-30 13:26:13,620.0
324,Menachem Mendel Shanowitz,2024-05-31 11:47:31,619.9
325,Amiksha,2024-08-13 18:53:03,619.3
326,mokekee,2024-08-08 03:50:55,619.2
327,Staratnyte,2024-07-09 16:50:07,619.1
328,Abiola Trésor Djigui,2024-06-12 09:46:02,618.9
329,Nidhi Bansal,2024-05-31 21:55:20,618.6
330,Amir Ghazi,2024-08-11 16:01:05,618.4
331,Hadeka,2024-08-12 09:38:58,618.3
332,tashiya0514,2024-08-13 15:56:19,618.2
333,Newton Baba,2024-08-11 07:57:23,618.2
334,johnny,2024-07-26 09:43:43,617.9
335,Dmitry Kozlov,2024-08-05 10:30:13,617.7
336,ZZU-LC,2024-08-11 02:03:38,617.5
337,sophia,2024-08-05 07:37:33,617.1
338,Ailurophile,2024-07-24 09:20:46,616.8
339,snorlax,2024-08-13 14:49:54,616.7
340,waee,2024-08-13 04:55:46,616.4
341,Evgeny Bratkovsky,2024-08-13 21:04:55,615.8
342,lash_fire,2024-07-23 22:56:04,615.8
343,Alannikos,2024-07-24 04:54:14,615.6
344,Kris Smith,2024-05-19 19:32:24,615.4
345,SERIOUS BEAVERS,2024-08-13 03:38:53,615.3
346,Lyubomir Klyambarski,2024-05-22 19:51:09,615.1
347,Marcel0,2024-08-13 23:46:12,614.8
348,Yi-Fu Chen,2024-08-13 03:27:19,614.2
349,fdsaxc,2024-07-17 09:02:18,613.7
350,fauxsmart,2024-05-17 20:34:20,613.3
351,Regis Vargas,2024-07-24 18:53:30,613.3
352,Johnny Hyland,2024-06-18 13:18:12,613.1
353,Crystal Hu,2024-06-25 23:41:04,612.8
354,tukka,2024-08-13 06:55:34,612.8
355,zsyyyy_y,2024-08-05 10:55:21,612.2
356,carvingfate,2024-08-10 16:51:31,612.2
357,Christian Wittmann,2024-06-06 05:23:56,612.0
358,Shohei Tachikawa,2024-08-06 05:30:36,611.6
359,HelloGPX,2024-08-13 13:01:54,611.5
360,Team Rigging,2024-06-20 20:04:17,611.5
361,BLAKE GATTO,2024-07-31 03:29:48,611.1
362,Doan Le Tuan Thanh,2024-06-30 07:35:32,610.8
363,Nick Gorichs,2024-07-02 17:55:15,610.7
364,webpro,2024-08-10 05:58:08,610.5
365,Nga Ho Thuy,2024-06-16 13:57:51,610.5
366,sothy50,2024-07-07 05:32:56,610.1
367,Hıdır Demir,2024-08-11 11:40:10,610.0
368,Agney Praseed,2024-05-28 17:15:01,609.7
369,Pan Haojun,2024-07-29 15:50:46,609.6
370,pang he,2024-06-14 12:50:30,609.6
371,kAIto47802,2024-08-13 18:01:25,609.5
372,loki003,2024-08-13 08:20:52,609.3
373,Steve Le (Solokop),2024-08-06 14:45:27,609.1
374,NGÔ PHÚC DANH,2024-07-13 14:03:04,608.9
375,JAN,2024-05-26 04:16:18,608.9
376,jayko,2024-07-10 19:33:28,608.6
377,Kenneth Zhong,2024-06-27 23:27:57,608.6
378,watermaster_911,2024-08-05 14:45:56,608.4
379,BaoLongDoan,2024-05-25 08:41:07,608.1
380,Bhargav6031,2024-06-16 19:09:45,608.0
381,WANG JUNZHE,2024-06-13 11:08:58,607.9
382,Juraj Rosinsky,2024-05-20 18:42:43,607.8
383,Quân Minh,2024-06-25 15:07:20,607.6
384,takaito,2024-08-13 13:53:47,607.3
385,rc95401,2024-07-30 22:55:46,607.2
386,TooruOonuma,2024-08-08 04:06:00,607.1
387,Mike Kim,2024-08-06 17:28:41,607.1
388,SoNic,2024-06-24 13:45:25,607.0
389,Rheinmetall,2024-07-24 17:27:52,606.9
390,Bobby@gan,2024-08-08 11:31:38,606.9
391,Jaewook Yang,2024-06-29 19:06:03,606.8
392,Owen,2024-08-06 02:36:01,606.8
393,ZZY IS ALL YOU NEED,2024-06-02 16:03:26,606.6
394,Calis_po_hwang,2024-07-13 08:42:52,606.4
395,Cristina ARHILIUC,2024-07-04 11:27:07,606.4
396,Michelle Chiu,2024-06-13 08:03:27,606.0
397,Suyash Gupte,2024-06-03 04:16:39,605.9
398,Pavel Pavlov,2024-08-13 07:35:45,605.3
399,kerenshang,2024-06-04 05:28:48,604.7
400,Istvan Habram,2024-07-29 21:52:48,604.6
401,Mustafa Lopaev,2024-08-05 11:45:28,604.5
402,Ahmet Idris,2024-07-25 20:02:13,604.4
403,juicy,2024-06-23 11:58:30,604.2
404,shiv_314,2024-08-13 23:33:04,604.0
405,djken,2024-08-04 02:47:39,603.7
406,Đạt Tiến,2024-07-04 04:30:43,603.7
407,kentoo,2024-07-27 09:55:11,603.7
408,aki_akjava,2024-07-19 02:27:50,603.6
409,Gia Bảo,2024-06-30 03:06:50,603.6
410,Madao,2024-08-13 20:22:01,603.0
411,Pawin Chan,2024-05-20 07:23:32,602.9
412,Sonttt,2024-06-09 15:25:41,602.8
413,dukeprashanth,2024-08-10 00:28:46,602.8
414,Hồng Anh 0084 Trương,2024-06-29 07:25:10,602.7
415,francesco fiamingo,2024-08-13 21:57:30,602.6
416,Aleron,2024-08-04 13:03:12,602.5
417,Juner,2024-07-31 08:32:33,602.5
418,SAMIUL ISLAM,2024-08-13 23:51:51,601.7
419,IT.DAINB,2024-07-14 11:35:52,601.7
420,gomerry,2024-07-23 22:08:20,601.6
421,sanjawr,2024-05-31 15:01:04,601.4
422,Naive Experimentalist,2024-08-13 23:50:24,601.3
423,BogdanNet,2024-06-21 10:33:19,601.2
424,AICON_Shibata,2024-07-30 12:30:02,601.1
425,Jainam213,2024-05-25 12:22:07,600.7
426,uparupaaa,2024-08-12 07:07:36,600.7
427,Brian,2024-05-24 06:17:54,600.4
428,Agent Alpha Enthusiast,2024-06-30 14:29:40,600.3
429,DAYEON1294,2024-06-29 15:43:48,600.3
430,akahane,2024-08-03 09:01:38,600.3
431,Kuldeep Rathore,2024-08-13 07:34:58,600.3
432,Ziwei-base-uncased,2024-07-06 03:48:47,600.0
433,Collision424,2024-07-21 15:11:59,599.9
434,takadaat,2024-08-02 04:14:13,599.9
435,Mahimai Raja J,2024-07-27 11:55:07,599.7
436,Freeeeddy,2024-05-30 11:56:12,599.7
437,pitP_kag,2024-07-31 08:00:55,599.7
438,juanfe120603,2024-07-17 16:35:15,599.7
439,Blue Light,2024-08-06 15:53:26,599.6
440,dksdms4,2024-06-30 00:32:03,599.3
441,Abhinav Mangalore,2024-06-29 17:01:28,599.2
442,Aakriti Lnu,2024-06-19 08:13:37,598.8
443,Shuntaro Tanaka,2024-07-20 00:40:12,598.7
444,Priyanshu Chaudhary,2024-06-01 06:00:18,598.6
445,Zoltar the Magnificent,2024-08-07 18:00:23,598.4
446,Shaishav,2024-05-25 12:08:31,598.4
447,Auliš Arinili,2024-06-04 07:06:52,598.4
448,nsutai.team1,2024-06-25 12:13:44,598.3
449,Dheeraj Bhukya,2024-07-22 15:42:07,598.3
450,TMOQ,2024-07-16 00:14:07,598.2
451,RSDP101,2024-07-26 16:22:46,598.1
452,Neige1729,2024-08-13 08:38:51,598.1
453,YanaPIIDXer,2024-06-03 14:35:40,598.0
454,LLMOverlords,2024-05-25 10:36:49,597.8
455,TanDunglqd,2024-07-15 16:25:09,597.8
456,Dhana Abhiraj,2024-08-13 13:25:04,597.7
457,AA,2024-06-15 03:26:45,597.6
458,code2compete,2024-06-14 00:49:11,597.1
459,heng,2024-07-01 02:12:46,596.9
460,TAKASHI AZUMA,2024-08-13 12:46:25,596.6
461,Nguyễn Đặng Nhật Hào,2024-07-03 07:50:57,596.6
462,ShengkangGu,2024-07-22 10:34:11,596.5
463,Zhaoxinfeng,2024-07-23 07:18:35,596.2
464,philipha2,2024-07-28 06:52:20,596.2
465,energybird,2024-06-01 14:23:23,596.1
466,Toygun Ozyurek,2024-06-13 10:31:30,596.0
467,Naufal Muhammad dzaka,2024-07-27 15:12:33,595.8
468,Mohammad Albaddawi,2024-08-13 19:58:19,595.6
469,Abhishek Das,2024-05-25 05:11:53,595.5
470,PUN,2024-07-30 04:55:39,595.4
471,Galina Ekaterina,2024-06-22 09:22:06,595.3
472,v20p8rz,2024-06-10 12:18:57,595.3
473,Mengfei Li,2024-08-10 22:13:41,595.1
474,byungchul-chae,2024-06-10 05:09:07,595.0
475,Scenery SunFireInk,2024-07-29 05:31:09,594.9
476,Daniel Andres Miranda,2024-08-13 15:10:41,594.8
477,WoNiu666,2024-08-13 04:12:41,594.7
478,kevin28gou,2024-05-20 04:16:32,594.6
479,Phạm Huỳnh Thiên Phú,2024-05-21 08:12:34,594.6
480,Guillaume Gilles,2024-08-07 14:09:16,594.4
481,Nasher,2024-07-13 18:52:38,594.3
482,htsbrer,2024-07-13 14:43:20,594.3
483,in Blue,2024-08-13 22:42:06,594.2
484,QuangNguyen711,2024-05-28 04:59:54,594.1
485,Mathurin Aché,2024-07-21 19:39:40,594.1
486,CaoNingbo,2024-07-26 04:19:03,594.0
487,Mesmerized scientist,2024-07-23 09:41:48,593.8
488,Sedat GOLGİYAZ,2024-08-10 23:22:58,593.3
489,Mirza Milan Farabi,2024-07-28 18:35:41,593.1
490,Tomithy Too,2024-05-24 07:23:39,593.1
491,dispenker,2024-08-09 07:04:35,592.7
492,PineAppleBun,2024-08-02 09:41:49,592.6
493,Yuyang Wang,2024-08-05 08:51:27,592.4
494,JianDe Ding,2024-07-02 06:21:52,592.3
495,Colin19,2024-08-13 04:30:10,592.2
496,Afordancja,2024-05-24 13:15:37,592.2
497,ash gamer,2024-05-31 06:37:54,592.0
498,Wei Hao Khoong,2024-08-06 13:33:11,592.0
499,Rafael Yakupov,2024-05-31 20:37:13,591.9
500,sidb10,2024-08-13 20:35:15,591.9
501,Deepa Paikar,2024-08-03 03:52:44,591.6
502,alekh,2024-05-31 05:06:51,591.5
503,HALHAL1615,2024-08-08 08:40:43,591.4
504,bestwater,2024-08-06 03:19:35,591.2
505,Eric Heidbreder,2024-06-13 03:06:52,591.2
506,sriramxleo,2024-08-05 02:04:24,591.1
507,LÂM LÊ NGUYỄN HOÀNG,2024-06-16 15:19:15,591.0
508,chuhac,2024-07-08 05:18:58,591.0
509,no apple 🍎,2024-07-24 08:03:37,590.7
510,SiriusX,2024-07-21 08:39:53,590.6
511,Quickpanda,2024-08-13 22:51:08,590.6
512,Lu-Chin Chang,2024-05-25 18:16:03,590.5
513,Abdullah Ali Abdullah,2024-06-17 22:19:24,590.4
514,Mr.kaggler,2024-08-12 14:16:40,590.3
515,horohoro,2024-07-18 23:28:32,590.3
516,Gol-eel,2024-05-29 11:36:46,590.2
517,ayalovenelu,2024-08-13 21:15:47,590.1
518,Tran Ngoc Thien,2024-06-30 15:20:10,590.0
519,chiron,2024-07-11 11:43:28,589.9
520,Cultural Kaggle,2024-06-24 10:43:20,589.9
521,nnn2003,2024-07-05 14:44:25,589.8
522,Kanchan Maurya,2024-07-29 23:24:13,589.6
523,NGoon,2024-07-14 01:10:11,589.5
524,DNT,2024-06-07 08:56:28,589.1
